#{"t_start": 1751064068.588806, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
140.0,1901,1201.050117
225.0,2657,1209.844119
80.0,1853,1215.865173
165.0,2109,1222.94926
360.0,2547,1231.551739
175.0,2341,1239.196054
250.0,3613,1251.296222
290.0,3235,1262.239418
110.0,1907,1268.560278
30.0,1013,1272.02366
450.0,3535,1283.793828
180.0,2513,1292.241318
135.0,1995,1298.732082
255.0,2891,1308.400003
165.0,2457,1317.056491
105.0,1987,1323.906667
0.0,1223,1328.127047
165.0,2957,1337.841632
50.0,1229,1342.022552
195.0,2177,1349.395471
105.0,1601,1354.719785
155.0,2039,1361.400126
60.0,1207,1365.475214
235.0,3211,1375.954431
335.0,3145,1387.9575
315.0,2543,1397.109053
65.0,1421,1402.57847
180.0,2131,1410.148164
70.0,1233,1414.252539
80.0,1215,1418.388749
65.0,1201,1422.258169
60.0,1147,1425.925982
45.0,1125,1429.561863
215.0,2591,1438.963844
110.0,1779,1444.748719
80.0,1115,1448.746901
40.0,1203,1452.869217
275.0,3551,1464.880641
190.0,2503,1473.068789
630.0,3307,1484.815963
120.0,2317,1492.916785
185.0,2133,1500.213887
135.0,1873,1506.395394
155.0,2139,1513.367987
335.0,2401,1521.947587
310.0,2871,1534.618514
210.0,2449,1542.528699
135.0,1241,1546.484047
240.0,3103,1556.663022
135.0,2267,1563.916955
185.0,2589,1572.289331
105.0,1829,1578.263307
90.0,1251,1582.610869
80.0,1249,1586.767736
55.0,2017,1593.606077
120.0,1919,1600.22752
135.0,1927,1606.923802
220.0,2155,1614.322975
440.0,2499,1622.583589
125.0,2815,1632.301986
225.0,2701,1641.694071
125.0,2053,1649.358118
120.0,1983,1656.323371
120.0,1771,1662.124383
105.0,1471,1667.004929
145.0,2309,1674.543289
135.0,1961,1681.103674
160.0,2455,1688.997025
120.0,1877,1695.11094
190.0,2005,1701.774698
155.0,1907,1708.093368
625.0,3535,1719.491013
345.0,3307,1730.197644
95.0,2007,1736.707436
245.0,4788,1752.250491
235.0,2911,1761.757959
425.0,3041,1771.699128
115.0,2017,1778.075546
135.0,1671,1783.717916
460.0,3739,1796.242183
410.0,2219,1803.371649
80.0,1757,1809.222353
45.0,1341,1813.523693
125.0,2473,1821.668248
300.0,2765,1830.695922
115.0,1437,1835.271207
20.0,1107,1838.755337
165.0,3095,1849.608178
90.0,1207,1853.473802
90.0,1783,1859.218032
135.0,1621,1864.355553
395.0,4051,1879.268732
125.0,2033,1885.937359
135.0,1919,1891.979584
55.0,1505,1896.864298
90.0,1211,1900.637897
260.0,1941,1906.964873
160.0,3917,1919.692606
130.0,1663,1925.057062
240.0,3343,1935.851365
125.0,1783,1941.425942
65.0,1289,1945.501575
105.0,1529,1950.405141
165.0,1507,1955.069991
80.0,1353,1959.450029
150.0,1541,1964.331777
210.0,2357,1972.073778
60.0,1377,1976.519475
395.0,3431,1987.475761
45.0,1057,1991.016344
180.0,1701,1996.501756
50.0,1489,2001.148177
155.0,1511,2005.989729
185.0,1927,2012.082112
135.0,1675,2017.428273
20.0,1039,2020.841517
430.0,2631,2029.267906
135.0,1425,2033.769781
230.0,2607,2042.264063
485.0,3363,2053.31112
180.0,1605,2058.501152
110.0,1601,2063.715671
155.0,1517,2068.59376
125.0,1607,2073.697723
210.0,2185,2080.779305
195.0,2027,2087.225169
50.0,1173,2090.976932
5.0,1551,2095.991812
95.0,1537,2100.811558
160.0,2265,2108.11792
105.0,2059,2114.87306
180.0,2119,2121.726338
155.0,2037,2128.222665
305.0,2185,2135.399949
445.0,2335,2142.831916
155.0,1873,2148.978881
120.0,1643,2154.186027
60.0,1215,2158.12097
155.0,1573,2163.055765
215.0,2403,2170.899078
140.0,1623,2176.029167
45.0,1303,2180.143142
105.0,2049,2186.757649
110.0,1467,2191.376712
180.0,1487,2196.091676
60.0,1139,2202.090205
80.0,1543,2207.256431
210.0,2165,2214.215902
250.0,3081,2223.977697
105.0,2095,2230.7793
235.0,2311,2238.702599
120.0,2253,2246.399382
55.0,1405,2250.957709
360.0,3407,2262.228748
155.0,1613,2267.450273
75.0,1737,2273.138008
80.0,1277,2277.271408
105.0,1549,2282.282246
90.0,1761,2287.86137
105.0,2225,2295.239593
100.0,1689,2300.688104
205.0,3015,2310.389098
155.0,2029,2316.819778
60.0,1297,2321.004964
360.0,2861,2330.302514
105.0,1589,2335.399309
190.0,2359,2342.992823
85.0,2195,2350.07606
250.0,2451,2358.03383
315.0,3061,2367.831643
220.0,2325,2375.354813
110.0,1855,2381.434873
140.0,2107,2388.053483
75.0,1211,2391.960132
200.0,2469,2399.754339
365.0,3661,2411.833969
190.0,2373,2419.286573
85.0,1829,2425.133703
185.0,1663,2430.581279
115.0,1883,2435.952813
180.0,2405,2442.705438
75.0,1241,2446.15077
110.0,1595,2450.504309
135.0,2009,2456.059551
110.0,2037,2461.6227
140.0,2049,2467.297414
210.0,2031,2472.922908
215.0,2467,2479.701447
160.0,2411,2486.385037
75.0,1205,2489.609425
110.0,1543,2493.785695
105.0,1419,2497.548177
285.0,2437,2504.268416
125.0,1935,2509.407212
150.0,1649,2513.861247
160.0,2279,2522.348491
90.0,1611,2526.769026
135.0,1913,2531.939827
285.0,2983,2539.991295
210.0,2421,2546.599323
80.0,1223,2549.912457
85.0,1439,2553.749517
180.0,1715,2558.518026
155.0,2381,2565.766361
215.0,2549,2576.039797
120.0,1767,2581.954618
185.0,2265,2589.384533
115.0,1673,2595.434351
165.0,1861,2601.895695
180.0,3069,2612.115158
160.0,1953,2618.937743
260.0,4671,2634.934708
100.0,1985,2641.640696
340.0,3237,2652.902219
120.0,1911,2659.214437
275.0,2819,2668.536913
95.0,1455,2673.749406
260.0,3055,2683.820913
250.0,3411,2695.093459
110.0,2271,2702.951546
260.0,2733,2712.209987
115.0,1171,2715.971477
315.0,2885,2725.277381
155.0,1967,2731.925304
35.0,1679,2737.468521
240.0,2785,2747.181726
140.0,1909,2753.533148
135.0,1947,2760.108446
105.0,1515,2765.080797
50.0,1051,2768.711463
180.0,2589,2777.145108
290.0,2729,2786.973488
240.0,3061,2797.084524
245.0,2905,2806.782421
35.0,1515,2812.033671
135.0,1981,2818.60009
240.0,2599,2827.577989
190.0,1975,2834.360312
145.0,2759,2843.906589
135.0,2581,2852.727401
170.0,2387,2866.001721
175.0,2071,2873.06947
80.0,1397,2878.523184
345.0,3173,2889.376072
360.0,3106,2900.185582
135.0,1949,2906.981736
155.0,2407,2914.927736
750.0,4477,2932.01692
185.0,2275,2939.624949
260.0,3509,2952.098831
355.0,2073,2959.13666
155.0,2333,2966.985484
85.0,1869,2973.52135
55.0,1171,2977.493232
135.0,1869,2984.24028
285.0,3425,2996.502027
450.0,2955,3007.233877
490.0,3475,3020.039652
125.0,1951,3026.954124
120.0,1967,3034.721362
405.0,3441,3047.785988
155.0,2167,3055.198215
380.0,3015,3066.282427
210.0,2325,3074.321394
135.0,2147,3081.679396
50.0,1195,3085.429958
515.0,4313,3100.054631
225.0,3139,3111.642911
305.0,2839,3121.984326
175.0,2547,3131.332675
215.0,1883,3137.671764
145.0,2537,3147.389087
195.0,2441,3155.943459
290.0,2753,3165.079316
110.0,1979,3171.985227
50.0,1861,3178.59786
65.0,1179,3182.631385
155.0,1913,3189.0775
90.0,1499,3195.383641
355.0,3347,3208.481604
135.0,1541,3213.523737
175.0,2281,3221.448249
60.0,1199,3228.765225
290.0,2357,3237.038219
465.0,3281,3248.246699
215.0,1927,3254.812795
55.0,1053,3258.327541
260.0,3381,3270.296319
430.0,2847,3280.21605
265.0,2555,3288.615246
240.0,2155,3296.091306
215.0,3415,3308.342428
65.0,1757,3314.60717
350.0,3217,3326.448079
165.0,2917,3336.571852
445.0,3197,3349.703921
195.0,1841,3356.206844
275.0,3705,3370.362591
210.0,2675,3379.945237
180.0,1949,3386.895538
290.0,3041,3397.765917
550.0,3659,3410.893028
310.0,2043,3418.106069
70.0,1593,3424.322327
80.0,1077,3428.026805
275.0,3145,3438.813957
150.0,2581,3447.596841
210.0,1641,3453.241279
210.0,2191,3461.172373
285.0,2679,3471.844925
60.0,1405,3476.607174
160.0,1875,3482.825681
145.0,2489,3491.513689
260.0,2611,3500.823976
400.0,2907,3511.277538
195.0,2699,3520.930203
85.0,1533,3526.498852
370.0,3619,3539.249209
110.0,1157,3543.357953
240.0,3281,3555.866419
175.0,2007,3563.931815
35.0,1095,3567.696984
430.0,3615,3580.906489
105.0,2085,3588.726997
250.0,3007,3603.303984
185.0,1909,3609.953825
385.0,2129,3617.607942
65.0,1089,3621.452279
95.0,1921,3628.636104
165.0,2999,3639.11975
20.0,1519,3644.306889
165.0,2629,3653.315857
50.0,1581,3658.965422
175.0,2015,3666.047591
255.0,2961,3676.889969
60.0,1249,3681.218951
210.0,1993,3689.566631
75.0,1143,3695.39168
180.0,2119,3703.751395
155.0,1991,3710.922128
100.0,1539,3716.354254
310.0,1973,3722.993335
185.0,2067,3730.041388
500.0,3597,3742.154504
215.0,2403,3750.119166
210.0,2097,3757.215414
260.0,2541,3765.775642
105.0,1479,3770.665502
155.0,1589,3776.013712
100.0,1559,3781.239409
315.0,2689,3790.348477
245.0,2487,3798.818122
295.0,2799,3808.351477
330.0,3215,3819.108149
55.0,1305,3824.302847
275.0,2353,3832.295688
210.0,2615,3841.15663
160.0,2217,3848.581971
235.0,3317,3859.837573
205.0,1961,3866.645064
340.0,3773,3879.454026
640.0,3969,3894.479748
190.0,2025,3901.324942
275.0,3383,3913.014078
215.0,3139,3923.772876
135.0,1459,3928.757044
80.0,1227,3932.853619
445.0,2953,3942.95278
170.0,2139,3950.26063
170.0,2769,3963.34383
390.0,3617,3975.794572
225.0,2373,3983.911808
260.0,2619,3992.828298
150.0,2371,4000.789062
295.0,2739,4009.731695
440.0,2659,4018.47819
120.0,1581,4023.576981
260.0,2255,4031.026159
260.0,2883,4040.505083
185.0,2011,4047.449839
440.0,3883,4060.22181
265.0,2247,4067.487607
180.0,1859,4073.6653
245.0,3123,4083.854475
495.0,4049,4097.249359
270.0,2627,4105.776778
250.0,2527,4113.943608
200.0,2463,4122.163116
185.0,1919,4128.327326
265.0,3159,4138.724891
175.0,2071,4145.53322
210.0,2505,4153.67704
285.0,1941,4159.910368
270.0,3355,4171.002483
295.0,2959,4180.84995
445.0,3221,4192.386802
400.0,3297,4203.294575
480.0,2999,4213.376277
260.0,2387,4221.19919
235.0,2301,4228.724448
240.0,2903,4238.192786
425.0,2875,4247.703177
330.0,3119,4258.137648
225.0,2555,4266.512629
225.0,2561,4274.869478
455.0,3049,4284.838407
500.0,3099,4299.271013
525.0,3859,4312.061259
300.0,3237,4322.549575
240.0,2917,4332.608223
310.0,2907,4340.819235
215.0,2035,4346.334549
435.0,2621,4353.533488
210.0,2047,4359.265409
190.0,2501,4366.237729
250.0,3435,4375.797366
215.0,2399,4382.427368
455.0,2959,4390.529459
210.0,2273,4396.820258
145.0,2415,4403.425647
585.0,3155,4412.082953
285.0,2141,4417.903318
255.0,3184,4426.631911
400.0,2631,4433.911871
205.0,2431,4440.529536
685.0,5243,4454.855202
365.0,3047,4463.176757
195.0,1899,4468.434647
150.0,1791,4473.389857
385.0,3665,4483.466944
450.0,4599,4496.085634
595.0,2871,4503.997588
270.0,3309,4513.187532
340.0,3275,4522.229146
95.0,1935,4527.636901
540.0,2797,4535.371119
205.0,3277,4545.916658
385.0,2547,4553.137259
540.0,3231,4562.143369
290.0,2039,4567.646855
365.0,3137,4576.424588
670.0,3713,4590.607796
260.0,2694,4599.651522
275.0,3083,4610.140113
240.0,2681,4618.538598
330.0,3199,4627.55943
245.0,3965,4638.629862
215.0,2749,4646.916995
335.0,3195,4656.585663
285.0,3183,4665.677056
285.0,3069,4674.199402
245.0,2591,4681.377433
515.0,3118,4690.102199
385.0,2909,4735.064889
335.0,2981,4745.842059
200.0,2667,4753.316254
160.0,2319,4759.974962
215.0,2749,4767.434229
365.0,2476,4774.293347
320.0,3736,5269.769053
180.0,2353,5276.547935
515.0,2979,5284.898485
220.0,1941,5290.199782
285.0,2477,5296.941834
300.0,3055,5305.389017
140.0,2405,5370.36253
380.0,3249,5379.274537
245.0,3088,5387.805187
485.0,3169,5396.438712
255.0,2141,5402.328462
285.0,3723,5412.442993
300.0,2613,5780.003149
490.0,3203,5788.91184
515.0,3499,5798.509397
145.0,2699,5805.863932
345.0,3626,5815.854184
370.0,3151,5887.750178
660.0,3205,5896.549109
260.0,2601,5904.828935
260.0,2373,5911.293688
245.0,3519,5920.850838
270.0,2821,5928.52509
150.0,2481,6364.068201
130.0,2225,6372.79377
460.0,2919,6381.62846
365.0,3675,6392.0395
225.0,2555,6399.161486
100.0,1943,6563.26774
185.0,1999,6569.105356
205.0,4077,6580.588702
275.0,2895,6588.613801
420.0,3175,6597.302639
225.0,2729,6604.747163
280.0,2808,6741.330813
300.0,4220,6753.181453
545.0,3679,6763.164143
345.0,3803,6774.2897
275.0,2799,6782.064259
470.0,3393,6847.250652
270.0,2949,6856.748751
275.0,2855,6864.503672
370.0,2825,6872.266115
420.0,3476,6881.69255
330.0,3633,7025.467002
345.0,4025,7036.482354
330.0,2775,7044.301831
175.0,2661,7051.590436
450.0,3181,7060.279428
475.0,3451,7164.163729
335.0,3397,7178.107427
370.0,2927,7186.076583
345.0,4119,7197.375691
365.0,3221,7206.126683
290.0,4153,7265.882497
390.0,3709,7275.988391
315.0,2585,7283.004504
275.0,3169,7291.676522
360.0,3567,7301.451185
290.0,2799,7633.370707
275.0,2699,7640.772443
280.0,2873,7648.641778
310.0,3231,7657.469093
265.0,3015,7665.7527
335.0,3127,8497.062925
565.0,4315,8509.031327
835.0,4918,8522.51768
680.0,6925,8541.836315
605.0,3807,8694.595732
265.0,3783,8704.981819
305.0,2889,8712.837426
475.0,4465,8725.278367
405.0,3293,8836.404525
335.0,2933,8849.98753
420.0,2753,8860.366869
380.0,2476,8869.465078
330.0,2979,8881.319372
